
2024/10/16 (00:08:25) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/20 (22:29:15) | ===> btop++ v.1.4.0
2024/10/20 (22:29:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/21 (10:46:00) | ===> btop++ v.1.4.0
2024/10/21 (10:46:00) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/21 (10:46:14) | ===> btop++ v.1.4.0
2024/10/21 (10:46:14) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...
2024/10/21 (14:01:19) | ERROR: Stall in Runner thread, restarting!

2024/10/21 (16:39:03) | ===> btop++ v.1.4.0
2024/10/21 (16:39:03) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/22 (00:22:15) | ===> btop++ v.1.4.0
2024/10/22 (00:22:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/22 (19:53:57) | ===> btop++ v.1.4.0
2024/10/22 (19:53:57) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/23 (00:08:43) | ===> btop++ v.1.4.0
2024/10/23 (00:08:43) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/25 (21:11:53) | ===> btop++ v.1.4.0
2024/10/25 (21:11:53) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/10/27 (13:02:52) | ===> btop++ v.1.4.0
2024/10/27 (13:02:52) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/03 (10:23:07) | ===> btop++ v.1.4.0
2024/11/03 (10:23:07) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/04 (12:24:59) | ===> btop++ v.1.4.0
2024/11/04 (12:24:59) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/04 (12:27:51) | ===> btop++ v.1.4.0
2024/11/04 (12:27:51) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/04 (12:30:14) | ===> btop++ v.1.4.0
2024/11/04 (12:30:14) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/05 (11:37:08) | ===> btop++ v.1.4.0
2024/11/05 (11:37:08) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/05 (11:42:35) | ===> btop++ v.1.4.0
2024/11/05 (11:42:35) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/05 (11:52:36) | ===> btop++ v.1.4.0
2024/11/05 (11:52:36) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/05 (12:00:12) | ===> btop++ v.1.4.0
2024/11/05 (12:00:12) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/08 (21:13:34) | ===> btop++ v.1.4.0
2024/11/08 (21:13:34) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/09 (02:11:53) | ===> btop++ v.1.4.0
2024/11/09 (02:11:53) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/09 (02:13:27) | ===> btop++ v.1.4.0
2024/11/09 (02:13:27) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/20 (23:28:07) | ===> btop++ v.1.4.0
2024/11/20 (23:28:07) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/11/25 (00:57:09) | ===> btop++ v.1.4.0
2024/11/25 (00:57:09) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/03 (11:05:07) | ===> btop++ v.1.4.0
2024/12/03 (11:05:07) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/04 (16:12:57) | ===> btop++ v.1.4.0
2024/12/04 (16:12:57) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/04 (16:12:57) | ===> btop++ v.1.4.0
2024/12/04 (16:12:57) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/04 (16:12:57) | ===> btop++ v.1.4.0
2024/12/04 (16:12:57) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/04 (16:12:58) | ===> btop++ v.1.4.0
2024/12/04 (16:12:58) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/05 (17:48:51) | ===> btop++ v.1.4.0
2024/12/05 (17:48:51) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/12/06 (01:04:34) | ===> btop++ v.1.4.0
2024/12/06 (01:04:34) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

